ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender,Married,Dependents,Education,Self_Employed,Property_Area,Loan_Status
7344,0.0,139,360,1,Male,Yes,1,Graduate,No,Urban,Y
5670,0.0,95,360,1,Male,Yes,0,Not Graduate,No,Rural,Y
5453,0.0,117,360,1,Male,Yes,0,Graduate,No,Semiurban,Y
5453,0.0,196,240,1,Male,Yes,0,Graduate,No,Urban,Y
11249,1338.0,190,240,1,Female,Yes,2,Graduate,No,Rural,Y
8189,3097.0,161,360,1,Male,Yes,0,Graduate,Yes,Urban,Y
4956,3081.0,107,360,1,Male,Yes,0,Graduate,No,Urban,Y
7481,4001.0,223,360,1,Male,No,0,Not Graduate,No,Semiurban,Y
6622,0.0,149,360,1,Male,Yes,1,Not Graduate,No,Urban,Y
2905,3306.0,121,360,1,Male,No,3+,Graduate,No,Urban,Y
3996,0.0,108,360,1,Male,Yes,3+,Graduate,No,Urban,Y
6820,3234.0,203,360,1,Male,Yes,0,Not Graduate,No,Semiurban,Y
10771,0.0,67,360,1,Female,No,3+,Graduate,No,Urban,Y
5472,1954.0,174,360,1,Female,No,0,Not Graduate,No,Rural,Y
4809,2123.0,133,360,1,Female,Yes,0,Graduate,Yes,Semiurban,Y
6277,2036.0,235,360,1,Female,Yes,2,Graduate,No,Urban,Y
4701,1948.0,348,240,1,Female,Yes,2,Graduate,No,Rural,Y
5327,2013.0,121,360,1,Male,Yes,0,Not Graduate,No,Urban,Y
5967,3006.0,225,360,1,Male,Yes,0,Graduate,No,Rural,Y
3928,4270.0,177,360,0,Male,Yes,3+,Graduate,No,Urban,Y
8372,2706.0,170,360,1,Male,No,0,Graduate,No,Urban,Y
3692,0.0,95,360,1,Female,No,2,Graduate,Yes,Urban,Y
3548,2655.0,129,360,1,Male,No,1,Graduate,Yes,Rural,Y
6501,0.0,221,180,1,Male,Yes,0,Graduate,No,Semiurban,Y
8095,6056.0,246,180,1,Male,Yes,0,Graduate,No,Rural,Y
6434,0.0,278,180,1,Male,Yes,0,Graduate,No,Urban,Y
5723,0.0,129,360,0,Male,No,0,Graduate,Yes,Semiurban,N
5306,3139.0,188,180,1,Male,Yes,1,Graduate,No,Semiurban,Y
4974,2109.0,131,360,1,Male,No,0,Not Graduate,No,Rural,Y
9188,3971.0,165,360,1,Female,Yes,0,Not Graduate,No,Rural,Y
6847,0.0,187,360,1,Male,Yes,0,Graduate,No,Rural,Y
5128,0.0,133,360,1,Male,Yes,1,Graduate,No,Semiurban,Y
4560,0.0,193,360,1,Male,No,0,Graduate,No,Rural,Y
7693,2345.0,146,360,1,Male,Yes,0,Graduate,No,Urban,Y
9094,2257.0,154,360,1,Male,Yes,0,Not Graduate,No,Semiurban,Y
8742,0.0,96,240,1,Female,No,0,Graduate,No,Rural,Y
4276,0.0,127,360,1,Female,No,2,Graduate,No,Semiurban,Y
5289,0.0,128,360,1,Female,Yes,3+,Graduate,No,Urban,Y
4937,4151.0,361,360,1,Female,Yes,0,Graduate,No,Urban,Y
5562,0.0,118,180,1,Female,No,0,Graduate,No,Semiurban,Y
8338,6010.0,153,360,1,Male,No,0,Graduate,No,Urban,Y
10326,0.0,119,360,1,Female,No,0,Not Graduate,Yes,Semiurban,Y
6952,2405.0,146,360,1,Female,No,2,Graduate,Yes,Semiurban,Y
4618,0.0,164,360,1,Male,Yes,2,Graduate,No,Rural,Y
5912,1585.0,111,180,1,Female,Yes,0,Graduate,Yes,Semiurban,Y
11186,3869.0,215,180,0,Female,No,2,Graduate,No,Semiurban,N
6217,0.0,113,180,1,Male,No,3+,Graduate,No,Urban,Y
5311,4220.0,92,360,1,Male,Yes,0,Not Graduate,No,Urban,Y
5485,0.0,159,360,1,Male,No,3+,Not Graduate,No,Semiurban,N
6940,0.0,309,120,1,Male,Yes,2,Graduate,No,Urban,Y
4328,2312.0,84,360,1,Male,Yes,0,Graduate,No,Semiurban,Y
4892,0.0,99,360,1,Male,Yes,2,Graduate,No,Semiurban,Y
8687,0.0,209,180,1,Male,Yes,0,Graduate,No,Semiurban,Y
6860,4579.0,118,360,1,Female,No,0,Graduate,Yes,Semiurban,Y
6242,0.0,168,360,1,Female,No,2,Graduate,No,Urban,Y
8872,1145.0,229,360,1,Male,No,2,Graduate,No,Semiurban,Y
4514,2482.0,203,360,1,Male,Yes,0,Graduate,No,Urban,Y
5249,2320.0,164,180,1,Female,Yes,0,Not Graduate,No,Semiurban,Y
